date,close,ema_20,ema_50,ema_200,bull_regime,bear_regime,neutral_regime,regime
2025-06-12,24888.19921875,24799.06677022918,24373.183428135482,,False,False,True,NEUTRAL
2025-06-13,24718.599609375,24791.40323110021,24386.729160733114,,False,False,True,NEUTRAL
2025-06-16,24946.5,24806.174351947808,24408.680958351426,,False,False,True,NEUTRAL
2025-06-17,24853.400390625,24810.672069917062,24426.120936087646,,False,False,True,NEUTRAL
2025-06-18,24812.05078125,24810.803375758293,24441.255439819502,,False,False,True,NEUTRAL
2025-06-19,24793.25,24809.131625686074,24455.059148061875,,False,False,True,NEUTRAL
2025-06-20,25112.400390625,24838.014365204064,24480.837236005525,,False,False,True,NEUTRAL
2025-06-23,24971.900390625,24850.765415244154,24500.094614618054,,False,False,True,NEUTRAL
2025-06-24,25044.349609375,24869.202005161376,24521.437947745777,24201.578376978414,True,False,False,BULL
2025-06-25,25244.75,24904.968480860294,24549.80312626555,24211.958194122908,True,False,False,BULL
2025-06-26,25549.0,24966.304816016458,24588.98731739239,24225.262092688852,True,False,False,BULL
2025-06-27,25637.80078125,25030.256812705367,24630.117257151513,24239.31720401782,True,False,False,BULL
2025-06-30,25517.05078125,25076.618143042953,24664.898963978903,24252.030970955453,True,False,False,BULL
2025-07-01,25541.80078125,25120.921251443622,24699.287270538553,24264.864501406148,True,False,False,BULL
2025-07-02,25453.400390625,25152.58593136566,24728.860334071353,24276.69072915957,True,False,False,BULL
2025-07-03,25405.30078125,25176.654012307023,24755.3874104313,24287.92067992664,True,False,False,BULL
2025-07-04,25461.0,25203.734582563495,24783.05849237517,24299.593110972146,True,False,False,BULL
2025-07-07,25461.30078125,25228.264696724116,24809.65622919379,24311.15239127342,True,False,False,BULL
2025-07-08,25522.5,25256.287106559914,24837.610886872466,24323.2056013105,True,False,False,BULL
2025-07-09,25476.099609375,25277.22163063754,24862.649660303938,24334.677183480297,True,False,False,BULL
2025-07-10,25355.25,25284.652903910155,24881.967320684176,24344.832136878504,True,False,False,BULL
2025-07-11,25149.849609375,25271.814494906805,24892.472508475974,24352.842260982947,True,False,False,BULL
2025-07-14,25082.30078125,25253.765569796633,24899.91675446711,24360.100554716948,True,False,False,BULL
2025-07-15,25195.80078125,25248.245113744575,24911.520049635066,24368.41597985658,True,False,False,BULL
2025-07-16,25212.05078125,25244.798034459378,24923.305568521926,24376.81035598985,True,False,False,BULL
