exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,latest_close,avg_volume,liquidity_status,liquidity_reason
NSE,STOCK,GLOTTIS,Glottis Limited,INE0TQE01026,,EQ,GLOTTIS.NS,62.310001373291016,41960.2,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GMBREW,GM Breweries Limited,INE075D01018,,EQ,GMBREW.NS,910.5499877929688,23582.05,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GMDCLTD,Gujarat Mineral Development Corporation Limited,INE131A01031,,EQ,GMDCLTD.NS,562.9500122070312,1013415.35,PASS,PASS
NSE,STOCK,GMMPFAUDLR,GMM Pfaudler Limited,INE541A01023,,EQ,GMMPFAUDLR.NS,1147.9000244140625,218219.65,PASS,PASS
NSE,STOCK,GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,,EQ,GMRAIRPORT.NS,97.4499969482422,13487501.85,PASS,PASS
NSE,STOCK,GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,,EQ,GMRP&UI.NS,91.69000244140624,1510254.15,PASS,PASS
NSE,STOCK,GNA,GNA Axles Limited,INE934S01014,,EQ,GNA.NS,531.7999877929688,405019.7,PASS,PASS
NSE,STOCK,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,,EQ,GNFC.NS,596.7000122070312,633501.1,PASS,PASS
NSE,STOCK,GNRL,Gujarat Natural Resources Limited,INE207H01018,,EQ,GNRL.NS,96.72000122070312,61230.692307692305,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GOACARBON,Goa Carbon Limited,INE426D01013,,EQ,GOACARBON.NS,375.25,9720.3,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GOCLCORP,GOCL Corporation Limited,INE077F01035,,EQ,GOCLCORP.NS,427.4500122070313,368371.95,PASS,PASS
NSE,STOCK,GOCOLORS,Go Fashion (India) Limited,INE0BJS01011,,EQ,GOCOLORS.NS,322.54998779296875,170454.4,PASS,PASS
NSE,STOCK,GODAVARIB,Godavari Biorefineries Limited,INE497S01012,,EQ,GODAVARIB.NS,245.25,592643.65,PASS,PASS
NSE,STOCK,GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,,EQ,GODFRYPHLP.NS,2051.0,193531.8,PASS,PASS
NSE,STOCK,GODIGIT,Go Digit General Insurance Limited,INE03JT01014,,EQ,GODIGIT.NS,257.8500061035156,240360.8,PASS,PASS
NSE,STOCK,GODREJAGRO,Godrej Agrovet Limited,INE850D01014,,EQ,GODREJAGRO.NS,658.9500122070312,1053409.4,PASS,PASS
NSE,STOCK,GODREJCP,Godrej Consumer Products Limited,INE102D01028,,EQ,GODREJCP.NS,878.0,2911768.85,PASS,PASS
NSE,STOCK,GODREJIND,Godrej Industries Limited,INE233A01035,,EQ,GODREJIND.NS,1154.300048828125,143049.85,PASS,PASS
NSE,STOCK,GODREJPROP,Godrej Properties Limited,INE484J01027,,EQ,GODREJPROP.NS,2001.5,551690.35,PASS,PASS
NSE,STOCK,GOKEX,Gokaldas Exports Limited,INE887G01027,,EQ,GOKEX.NS,767.6500244140625,248258.55,PASS,PASS
NSE,STOCK,GOKUL,Gokul Refoils and Solvent Limited,INE020J01029,,EQ,GOKUL.NS,41.95000076293945,212532.4,FAIL,PRICE_TOO_LOW
NSE,STOCK,GOKULAGRO,Gokul Agro Resources Limited,INE314T01033,,EQ,GOKULAGRO.NS,231.1699981689453,767095.8,PASS,PASS
NSE,STOCK,GOLDENTOBC,Golden Tobacco Limited,INE973A01010,,BZ,GOLDENTOBC.NS,25.0,1762.4,FAIL,PRICE_TOO_LOW
NSE,STOCK,GOLDIAM,Goldiam International Limited,INE025B01025,,EQ,GOLDIAM.NS,345.29998779296875,814930.05,PASS,PASS
NSE,STOCK,GOLDTECH,AION-TECH SOLUTIONS LIMITED,INE805A01014,,BE,GOLDTECH.NS,47.09999847412109,18780.95,FAIL,PRICE_TOO_LOW
NSE,STOCK,GOODLUCK,Goodluck India Limited,INE127I01024,,EQ,GOODLUCK.NS,472.8999938964844,956906.0,PASS,PASS
NSE,STOCK,GOODYEAR,Goodyear India Limited,INE533A01012,,EQ,GOODYEAR.NS,741.5,6524.1,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GOPAL,Gopal Snacks Limited,INE0L9R01028,,EQ,GOPAL.NS,265.3999938964844,229762.35,PASS,PASS
NSE,STOCK,GOYALALUM,Goyal Aluminiums Limited,INE705X01026,,EQ,GOYALALUM.NS,6.309999942779541,53581.65,FAIL,PRICE_TOO_LOW
NSE,STOCK,GPIL,Godawari Power And Ispat limited,INE177H01039,,EQ,GPIL.NS,239.8999938964844,1997882.0,PASS,PASS
NSE,STOCK,GPPL,Gujarat Pipavav Port Limited,INE517F01014,,EQ,GPPL.NS,161.6199951171875,2854402.65,PASS,PASS
NSE,STOCK,GPTHEALTH,GPT Healthcare Limited,INE486R01017,,EQ,GPTHEALTH.NS,158.1699981689453,95808.1,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GPTINFRA,GPT Infraprojects Limited,INE390G01014,,EQ,GPTINFRA.NS,112.0999984741211,154464.1,PASS,PASS
NSE,STOCK,GRADIENTE,Gradiente Infotainment Limited,INE361K01017,,EQ,GRADIENTE.NS,2.7100000381469727,2169398.45,FAIL,PRICE_TOO_LOW
NSE,STOCK,GRANDOAK,Grand Oak Canyons Distillery Limited,INE926B01016,,EQ,GRANDOAK.NS,34.97999954223633,6429.692307692308,FAIL,PRICE_TOO_LOW
NSE,STOCK,GRANULES,Granules India Limited,INE101D01020,,EQ,GRANULES.NS,853.8499755859375,664269.3,PASS,PASS
NSE,STOCK,GRAPHITE,Graphite India Limited,INE371A01025,,EQ,GRAPHITE.NS,733.5999755859375,1060872.25,PASS,PASS
NSE,STOCK,GRASIM,Grasim Industries Limited,INE047A01021,,EQ,GRASIM.NS,3310.0,1289770.15,PASS,PASS
NSE,STOCK,GRAUWEIL,Grauer & Weil India Limited,INE266D01021,,EQ,GRAUWEIL.NS,70.58999633789062,328731.7,PASS,PASS
NSE,STOCK,GRAVISSHO,Graviss Hospitality Limited,INE214F01026,,EQ,GRAVISSHO.NS,29.600000381469727,2010.2307692307693,FAIL,PRICE_TOO_LOW
NSE,STOCK,GRAVITA,Gravita India Limited,INE024L01027,,EQ,GRAVITA.NS,1661.5999755859375,192459.9,PASS,PASS
NSE,STOCK,GREAVESCOT,Greaves Cotton Limited,INE224A01026,,EQ,GREAVESCOT.NS,195.55999755859372,970933.35,PASS,PASS
NSE,STOCK,GREENLAM,Greenlam Industries Limited,INE544R01021,,EQ,GREENLAM.NS,244.1699981689453,198011.95,PASS,PASS
NSE,STOCK,GREENPANEL,Greenpanel Industries Limited,INE08ZM01014,,EQ,GREENPANEL.NS,157.6199951171875,374358.8,PASS,PASS
NSE,STOCK,GREENPLY,Greenply Industries Limited,INE461C01038,,EQ,GREENPLY.NS,304.70001220703125,112000.8,PASS,PASS
NSE,STOCK,GREENPOWER,Orient Green Power Company Limited,INE999K01014,,EQ,GREENPOWER.NS,9.1899995803833,1844820.35,FAIL,PRICE_TOO_LOW
NSE,STOCK,GRINDWELL,Grindwell Norton Limited,INE536A01023,,EQ,GRINDWELL.NS,1974.4000244140625,25970.2,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GRINFRA,G R Infraprojects Limited,INE201P01022,,EQ,GRINFRA.NS,871.0999755859375,51089.8,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GRMOVER,GRM Overseas Limited,INE192H01020,,EQ,GRMOVER.NS,85.80999755859375,1321126.45,PASS,PASS
NSE,STOCK,GROBTEA,The Grob Tea Company Limited,INE646C01018,,EQ,GROBTEA.NS,980.0,418.3,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GROWW,Billionbrains Garage Ventures Limited,INE0HOQ01053,,EQ,GROWW.NS,194.0,48181140.55,PASS,PASS
NSE,STOCK,GRPLTD,GRP Limited,INE137I01015,,EQ,GRPLTD.NS,1979.699951171875,1439.9,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GRSE,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,,EQ,GRSE.NS,2509.800048828125,435918.9,PASS,PASS
NSE,STOCK,GRWRHITECH,Garware Hi-Tech Films Limited,INE291A01017,,EQ,GRWRHITECH.NS,7100.0,65032.05,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GSFC,Gujarat State Fertilizers & Chemicals Limited,INE026A01025,,EQ,GSFC.NS,161.86000061035156,1029308.55,PASS,PASS
