trades,wins,losses,win_rate_pct,avg_net_pct,median_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,median_holding_days,target_exits,stop_exits,time_exits,symbol,exchange
7,1,6,14.285714285714285,-1.6278571428571367,-2.698749999999998,-1.4778571428571372,4.802500000000003,-2.6995833333333272,0.2964963728970529,-1.6278571428571367,-11.06763482081653,-10.368117137607868,2.2857142857142856,1.0,1,6,0,CGCL.BO,BSE
8,1,7,12.5,-1.7626562499999905,-2.698750000000002,-1.6126562499999908,4.79750000000001,-2.6998214285714193,0.25385276804021567,-1.7626562499999905,-13.47404858023551,-11.071877675957332,2.5,1.0,1,7,0,CUPID.NS,NSE
2,0,2,0.0,-2.6987499999999898,-2.6987499999999898,-2.54874999999999,0.0,-2.6987499999999898,0.0,-2.6987499999999898,-5.324667484374979,-2.698749999999983,2.0,2.0,0,2,0,SWIGGY.NS,NSE
2,0,2,0.0,-2.6987499999999924,-2.6987499999999924,-2.548749999999993,0.0,-2.6987499999999924,0.0,-2.6987499999999924,-5.324667484374979,-2.698749999999983,2.5,2.5,0,2,0,RUBICON.BO,BSE
2,0,2,0.0,-2.698749999999995,-2.698749999999995,-2.5487499999999956,0.0,-2.698749999999995,0.0,-2.698749999999995,-5.32466748437499,-2.698749999999994,1.5,1.5,0,2,0,WELSPUNLIV.BO,BSE
2,0,2,0.0,-2.698749999999997,-2.698749999999997,-2.5487499999999974,0.0,-2.698749999999997,0.0,-2.698749999999997,-5.32466748437499,-2.698749999999994,1.5,1.5,0,2,0,SWIGGY.BO,BSE
1,0,1,0.0,-2.698749999999997,-2.698749999999997,-2.548749999999997,0.0,-2.698749999999997,0.0,-2.698749999999997,-2.698749999999994,0.0,1.0,1.0,0,1,0,SHADOWFAX.BO,BSE
2,0,2,0.0,-2.698749999999998,-2.698749999999998,-2.5487499999999983,0.0,-2.698749999999998,0.0,-2.698749999999998,-5.32466748437499,-2.698749999999983,3.0,3.0,0,2,0,LENSKART.BO,BSE
2,0,2,0.0,-2.6987500000000013,-2.6987500000000013,-2.548750000000002,0.0,-2.6987500000000013,0.0,-2.6987500000000013,-5.324667484375012,-2.6987500000000053,2.0,2.0,0,2,0,NORTHARC.BO,BSE
4,0,4,0.0,-2.699374999999993,-2.698749999999995,-2.5493749999999933,0.0,-2.699374999999993,0.0,-2.699374999999993,-10.368117137607857,-7.879718020640414,1.5,1.5,0,4,0,IFCI.NS,NSE
3,0,3,0.0,-2.6995833333333334,-2.6987500000000035,-2.549583333333334,0.0,-2.6995833333333334,0.0,-2.6995833333333334,-7.882084903953334,-5.324667484375012,1.3333333333333333,1.0,0,3,0,MAHABANK.NS,NSE
2,0,2,0.0,-2.6999999999999895,-2.6999999999999895,-2.549999999999989,0.0,-2.6999999999999895,0.0,-2.6999999999999895,-5.3271000156249855,-2.698749999999994,1.0,1.0,0,2,0,URBANCO.NS,NSE
2,0,2,0.0,-2.699999999999993,-2.699999999999993,-2.5499999999999936,0.0,-2.699999999999993,0.0,-2.699999999999993,-5.3271000156249855,-2.698749999999994,1.0,1.0,0,2,0,URBANCO.BO,BSE
9,0,9,0.0,-2.700138888888879,-2.7012499999999795,-2.5501388888888794,0.0,-2.700138888888879,0.0,-2.700138888888879,-21.835422857001706,-19.66538404347612,6.888888888888889,6.0,0,9,0,COALINDIA.BO,BSE
3,0,3,0.0,-2.7004166666666634,-2.701249999999985,-2.550416666666664,0.0,-2.7004166666666634,0.0,-2.7004166666666634,-7.884451726452923,-5.327100015625009,2.0,2.0,0,3,0,HINDCOPPER.NS,NSE
3,0,3,0.0,-2.700416666666667,-2.7012499999999897,-2.5504166666666674,0.0,-2.700416666666667,0.0,-2.700416666666667,-7.884451726452923,-5.327100015624997,2.0,2.0,0,3,0,HINDCOPPER.BO,BSE
