variant,exchange,symbol,trades,wins,losses,win_rate_pct,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct
LONG_RSI_ZONE,BSE,PINELABS,2,1,1,50.0,1.1000000000000074,1.830188679245291,2.0714750000000004,-2.649999999999997
LONG_RSI_ZONE,BSE,PWL,1,1,0,100.0,4.850000000000002,inf,4.849999999999999,0.0
LONG_RSI_ZONE,BSE,RELIANCE,7,2,5,28.57142857142857,-0.17166795824160133,0.8897714681749872,-1.5606920460823015,-5.515673746949334
LONG_RSI_ZONE,BSE,RUBICON,1,0,1,0.0,-2.6500000000000097,0.0,-2.650000000000008,0.0
LONG_RSI_ZONE,BSE,SAMMAANCAP,5,1,4,20.0,-1.1499999999999968,0.4575471698113214,-5.830067694416696,-10.186044534493742
LONG_RSI_ZONE,BSE,SBFC,7,2,5,28.57142857142857,-0.5071428571428555,0.7320754716981142,-3.8793610891896035,-7.741185962499985
LONG_RSI_ZONE,BSE,SBIN,4,3,1,75.0,2.066318112401712,4.118970735700688,8.322549708039585,-2.650000000000008
LONG_RSI_ZONE,BSE,SHADOWFAX,1,1,0,100.0,4.850000000000002,inf,4.849999999999999,0.0
LONG_RSI_ZONE,BSE,SHUKRAPHAR,2,1,1,50.0,1.0999999999999963,1.8301886792452766,2.0714750000000004,-2.649999999999997
LONG_RSI_ZONE,BSE,SWIGGY,2,0,2,0.0,-2.6500000000000004,0.0,-5.229775000000004,-2.649999999999997
LONG_RSI_ZONE,BSE,TATASTEEL,4,3,1,75.0,2.4294359805532793,4.66707317819364,9.877012878301139,-2.649999999999997
LONG_RSI_ZONE,BSE,TENNIND,1,1,0,100.0,4.850000000000012,inf,4.850000000000021,0.0
LONG_RSI_ZONE,BSE,TFCILTD,4,2,2,50.0,1.1000000000000048,1.8301886792452882,4.1858600867562545,-5.229775000000004
LONG_RSI_ZONE,BSE,UJJIVANSFB,7,4,3,57.14285714285714,1.1235149066815742,1.9892584083988738,7.688875536613571,-2.6499999999999857
LONG_RSI_ZONE,BSE,URBANCO,2,0,2,0.0,-2.6500000000000012,0.0,-5.229775000000004,-2.650000000000008
LONG_RSI_ZONE,BSE,VEDL,6,2,4,33.33333333333333,-0.1499999999999934,0.9150943396226447,-1.2628259775958717,-5.229774999999992
LONG_RSI_ZONE,BSE,VIYASH,5,1,4,20.0,-1.1499999999999981,0.4575471698113215,-5.830067694416696,-7.741185962499997
LONG_RSI_ZONE,BSE,VMM,3,3,0,100.0,4.850000000000005,inf,15.267083412499982,0.0
LONG_RSI_ZONE,BSE,WELSPUNLIV,3,1,2,33.33333333333333,-0.1499999999999996,0.9150943396226415,-0.6334190874999979,-2.649999999999997
LONG_RSI_ZONE,BSE,ZEEL,7,5,2,71.42857142857143,2.1342471947168433,3.8188170496260194,15.541427467924418,-2.650000000000008
LONG_RSI_ZONE,NSE,ADANIPOWER,3,1,2,33.33333333333333,-0.1499999999999977,0.9150943396226429,-0.633419087500009,-5.229775000000004
LONG_RSI_ZONE,NSE,ASHOKLEY,8,4,4,50.0,0.7355234045320838,1.555112003420442,5.528312228015553,-5.2297749999999805
LONG_RSI_ZONE,NSE,CANBK,5,3,2,60.0,1.850000000000005,2.7452830188679336,9.23887430096395,-5.2297749999999805
LONG_RSI_ZONE,NSE,CUPID,4,0,4,0.0,-2.649999999999998,0.0,-10.186044534493742,-7.741185962500008
LONG_RSI_ZONE,NSE,ETERNAL,6,1,5,16.666666666666664,-1.3999999999999921,0.36603773584905835,-8.325570900514624,-5.830067694416674
LONG_RSI_ZONE,NSE,FCL,5,1,4,20.0,-1.1500000000000012,0.4575471698113209,-5.830067694416707,-5.229775000000004
LONG_RSI_ZONE,NSE,GMRAIRPORT,6,2,4,33.33333333333333,-0.44868634635478727,0.7460265964029502,-2.950462358605843,-10.186044534493732
LONG_RSI_ZONE,NSE,GROWW,2,0,2,0.0,-2.649999999999995,0.0,-5.229774999999992,-2.649999999999997
LONG_RSI_ZONE,NSE,HDFCBANK,5,5,0,100.0,2.953968065800835,inf,15.627481763092987,0.0
LONG_RSI_ZONE,NSE,HFCL,5,1,4,20.0,-1.150000000000001,0.4575471698113206,-5.830067694416696,-10.186044534493742
LONG_RSI_ZONE,NSE,HINDCOPPER,3,1,2,33.33333333333333,-0.1499999999999937,0.9150943396226447,-0.6334190874999757,-2.649999999999997
