exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,BASF,BASF,,500042,A,BASF.BO,,,0,,BASF.BO: Only 2 rows; minimum is 30 | 500042.BO: Yahoo returned no data
BSE,STOCK,BASILIC,Basilic Fly Studio,,210598,NS,BASILIC.BO,,,0,,BASILIC.BO: Yahoo returned no data | 210598.BO: Yahoo returned no data
BSE,STOCK,BAWEJA,Baweja Studios,,211096,NT,BAWEJA.BO,,,0,,BAWEJA.BO: Yahoo returned no data | 211096.BO: Yahoo returned no data
BSE,STOCK,BBL,Bharat Bijlee,,503960,B,BBL.BO,,,0,,BBL.BO: Only 2 rows; minimum is 30 | 503960.BO: Yahoo returned no data
BSE,STOCK,BEACON,Beacon Trusteeship,,211633,NS,BEACON.BO,,,0,,BEACON.BO: Yahoo returned no data | 211633.BO: Yahoo returned no data
BSE,STOCK,BEARDSELL,Beardsell,,211781,NS,BEARDSELL.BO,,,0,,BEARDSELL.BO: Yahoo returned no data | 211781.BO: Yahoo returned no data
BSE,STOCK,BEL,Bharat Electronics,,500049,A,BEL.BO,,,0,,BEL.BO: Only 2 rows; minimum is 30 | 500049.BO: Yahoo returned no data
BSE,STOCK,BEML,BEML,,500048,A,BEML.BO,,,0,,BEML.BO: Only 2 rows; minimum is 30 | 500048.BO: Yahoo returned no data
BSE,STOCK,BEPL,Bhansali Engineering Polymers,,500052,B,BEPL.BO,,,0,,BEPL.BO: Only 2 rows; minimum is 30 | 500052.BO: Yahoo returned no data
BSE,STOCK,BERGEPAINT,Berger Paints,,509480,A,BERGEPAINT.BO,,,0,,BERGEPAINT.BO: Only 2 rows; minimum is 30 | 509480.BO: Yahoo returned no data
BSE,STOCK,BETA,Beta Drugs,,203739,NS,BETA.BO,,,0,,BETA.BO: Yahoo returned no data | 203739.BO: Yahoo returned no data
BSE,STOCK,BEWLTD,BEW Engineering,,208204,NS,BEWLTD.BO,,,0,,BEWLTD.BO: Yahoo returned no data | 208204.BO: Yahoo returned no data
BSE,STOCK,BHADORA,Bhadora Industries,,213637,NT,BHADORA.BO,,,0,,BHADORA.BO: Yahoo returned no data | 213637.BO: Yahoo returned no data
BSE,STOCK,BHARATFORG,Bharat Forge,,500493,A,BHARATFORG.BO,,,0,,BHARATFORG.BO: Only 2 rows; minimum is 30 | 500493.BO: Yahoo returned no data
BSE,STOCK,BIKEWO,Bikewo Green Tech,,212039,NT,BIKEWO.BO,,,0,,BIKEWO.BO: Yahoo returned no data | 212039.BO: Yahoo returned no data
BSE,STOCK,BIOPOL,Biopol Chemicals,,215725,NS,BIOPOL.BO,,,0,,BIOPOL.BO: Yahoo returned no data | 215725.BO: Yahoo returned no data
BSE,STOCK,BIRDYS,Grill Splendour Services,,211521,NS,BIRDYS.BO,,,0,,BIRDYS.BO: Yahoo returned no data | 211521.BO: Yahoo returned no data
BSE,STOCK,BLEL,Behari Lal Engineering,,544870,B,BLEL.BO,,,0,,BLEL.BO: Only 13 rows; minimum is 30 | 544870.BO: Yahoo returned no data
BSE,STOCK,BLKASHYAP,B L Kashyap & Sons,,532719,B,BLKASHYAP.BO,,,0,,BLKASHYAP.BO: Only 2 rows; minimum is 30 | 532719.BO: Yahoo returned no data
