exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol
BSE,STOCK,ALEMBICLTD,Alembic,,506235,B,ALEMBICLTD.BO
BSE,STOCK,ALEXANDER,Alexander Stamps & Coin,,511463,X,ALEXANDER.BO
BSE,STOCK,ALFAICA,Alfa ICA,,530973,X,ALFAICA.BO
BSE,STOCK,ALFATRAN,Alfa Transformers,,517546,X,ALFATRAN.BO
BSE,STOCK,ALFAVIO,Alfavision Overseas,,531156,XT,ALFAVIO.BO
BSE,STOCK,ALFL,Abhinav Leasing & Finance,,538952,X,ALFL.BO
BSE,STOCK,ALFREDHE,Alfred Herbert,,505216,B,ALFREDHE.BO
BSE,STOCK,ALGOQUANT,Algoquant Fintech,,505725,B,ALGOQUANT.BO
BSE,STOCK,ALICON,Alicon Castalloy,,531147,B,ALICON.BO
BSE,STOCK,ALIVUS,Alivus Life Sciences,,543322,A,ALIVUS.BO
BSE,STOCK,ALKALI,Alkali Metals,,533029,T,ALKALI.BO
BSE,STOCK,ALKEM,Alkem Laboratories,,539523,A,ALKEM.BO
BSE,STOCK,ALKOSIGN,Alkosign,,543453,M,ALKOSIGN.BO
BSE,STOCK,ALKYLAMINE,Alkyl Amines Chemicals,,506767,A,ALKYLAMINE.BO
BSE,STOCK,ALLCARGO,Allcargo Logistics,,532749,B,ALLCARGO.BO
BSE,STOCK,ALLDIGI,Alldigi Tech,,532633,B,ALLDIGI.BO
BSE,STOCK,ALLETEC,All E Technologies,,209328,NS,ALLETEC.BO
BSE,STOCK,ALLTIME,All Time Plastics,,544479,B,ALLTIME.BO
BSE,STOCK,ALMONDZ,Almondz Global Securities,,531400,B,ALMONDZ.BO
BSE,STOCK,ALNATRD,Alna Trading & Exports,,506120,P,ALNATRD.BO
BSE,STOCK,ALOKINDS,Alok Industries,,521070,A,ALOKINDS.BO
BSE,STOCK,ALPA,Alpa Laboratories,,532878,B,ALPA.BO
BSE,STOCK,ALPEXSOLAR,Alpex Solar,,211127,NS,ALPEXSOLAR.BO
BSE,STOCK,ALPHAGEO,Alphageo,,526397,T,ALPHAGEO.BO
BSE,STOCK,ALPHAIND,Alphalogic Industries,,543937,M,ALPHAIND.BO
BSE,STOCK,ALPHALOGIC,Alphalogic Techsys,,542770,B,ALPHALOGIC.BO
BSE,STOCK,ALPINEHOU,Alpine Housing Development,,526519,XT,ALPINEHOU.BO
BSE,STOCK,ALPINETEX,Alpine Texworld,,544825,B,ALPINETEX.BO
BSE,STOCK,ALSL,Alacrity Securities,,535916,B,ALSL.BO
BSE,STOCK,ALUFLUOR,Alufluoride,,524634,B,ALUFLUOR.BO
BSE,STOCK,ALUWIND,Aluwind Infra - Tech,,211499,NS,ALUWIND.BO
BSE,STOCK,AMAGI,Amagi Media Labs,,544679,B,AMAGI.BO
BSE,STOCK,AMAL,AMAL,,506597,B,AMAL.BO
BSE,STOCK,AMANAYA,Amanaya Ventures,,543804,M,AMANAYA.BO
BSE,STOCK,AMANTA,Amanta Healthcare,,544502,T,AMANTA.BO
BSE,STOCK,AMARJOTHI,Amarjothi Spinning Mills,,521097,B,AMARJOTHI.BO
BSE,STOCK,AMARNATH,Sri Amarnath Finance,,538863,X,AMARNATH.BO
BSE,STOCK,AMBAAUTO,Amba Auto Sales & Services,,216238,NS,AMBAAUTO.BO
BSE,STOCK,AMBALALSA,Ambalal Sarabhai Enterprises,,500009,T,AMBALALSA.BO
BSE,STOCK,AMBANIORGO,Ambani Orgochem,,201064,NS,AMBANIORGO.BO
BSE,STOCK,AMBARPIL,Ambar Protein Industries,,519471,XT,AMBARPIL.BO
BSE,STOCK,AMBER,Amber Enterprises,,540902,A,AMBER.BO
BSE,STOCK,AMBICAAGAR,Ambica Agarbathies,,532335,B,AMBICAAGAR.BO
BSE,STOCK,AMBIKCO,Ambika Cotton Mill,,531978,B,AMBIKCO.BO
BSE,STOCK,AMBIT,Ambitious Plastomac,,526439,X,AMBIT.BO
BSE,STOCK,AMBOAGRI,AMBO Agritec,,543678,M,AMBOAGRI.BO
BSE,STOCK,AMBUJACEM,Ambuja Cements,,500425,A,AMBUJACEM.BO
BSE,STOCK,AMCL,ANB Metal Cast,,213646,NS,AMCL.BO
BSE,STOCK,AMCOIND,Amco India,,530133,X,AMCOIND.BO
BSE,STOCK,AMDIND,Amd Industries,,532828,B,AMDIND.BO
BSE,STOCK,AMEENJI,Ameenji Rubber,,544555,MT,AMEENJI.BO
BSE,STOCK,AMERISE,Amerise Biosciences,,531681,XT,AMERISE.BO
BSE,STOCK,AMEYA,Ameya Precision Engineers,,209085,NS,AMEYA.BO
BSE,STOCK,AMFORG,Amforge Industries,,513117,X,AMFORG.BO
BSE,STOCK,AMIABLE,Amiable Logistics,,209239,NS,AMIABLE.BO
BSE,STOCK,AMIC,Amic Forging,,544037,M,AMIC.BO
BSE,STOCK,AMINTAN,Amin Tannery,,541771,XT,AMINTAN.BO
BSE,STOCK,AMITSEC,Amit Securities,,531557,X,AMITSEC.BO
BSE,STOCK,AMJLAND,AMJ Land Holdings,,500343,B,AMJLAND.BO
BSE,STOCK,AMKAY,Amkay Products,,544169,M,AMKAY.BO
BSE,STOCK,AMNPLST,Amines & Plasticizers,,506248,B,AMNPLST.BO
BSE,STOCK,AMPL,Credent Global Finance,,539598,X,AMPL.BO
BSE,STOCK,AMPVOLTS,AmpVolts,,535719,X,AMPVOLTS.BO
BSE,STOCK,AMRAAGRI,Amraworld Agrico,,531991,X,AMRAAGRI.BO
BSE,STOCK,AMRAFIN,Amrapali Fincap,,539265,MT,AMRAFIN.BO
BSE,STOCK,AMRAPLIN,Amrapali Industries,,526241,XT,AMRAPLIN.BO
BSE,STOCK,AMRUTANJAN,Amrutanjan Health Care,,590006,B,AMRUTANJAN.BO
BSE,STOCK,AMS,Ams Polymers,,540066,XT,AMS.BO
BSE,STOCK,AMTL,Advance Metering Tech,,534612,X,AMTL.BO
BSE,STOCK,AMWILL,Amwill Health Care,,544353,M,AMWILL.BO
BSE,STOCK,ANANDRATHI,Anand Rathi Wealth,,543415,A,ANANDRATHI.BO
BSE,STOCK,ANANTRAJ,Anant Raj,,515055,A,ANANTRAJ.BO
BSE,STOCK,ANAWIL,Anawil Wire & Engineering,,216509,NS,ANAWIL.BO
BSE,STOCK,ANDHRAPAP,Andhra Paper,,502330,B,ANDHRAPAP.BO
BSE,STOCK,ANDHRAPET,Andhra Petrochemicals,,500012,X,ANDHRAPET.BO
BSE,STOCK,ANDHRSUGAR,Andhra Sugars,,590062,B,ANDHRSUGAR.BO
BSE,STOCK,ANDREWYU,Andrew Yule & Company,,526173,B,ANDREWYU.BO
BSE,STOCK,ANG,ANG Lifesciences,,540694,T,ANG.BO
BSE,STOCK,ANGEL,Angel Fibers,,541006,M,ANGEL.BO
BSE,STOCK,ANGELONE,Angel One,,543235,A,ANGELONE.BO
BSE,STOCK,ANIKINDS,Anik Industries,,519383,B,ANIKINDS.BO
BSE,STOCK,ANIRIT,Anirit Ventures,,530705,XT,ANIRIT.BO
