variant,direction,signal_date,entry_date,exit_date,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,rsi,extension_pct,symbol,exchange,data_symbol
RSI_ZONE,SHORT,2026-01-09,2026-01-12,2026-01-13,51.060001373291016,52.33650140762329,48.50700130462646,52.33650140762329,STOP_LOSS,2,-2.4999999999999947,-2.6499999999999946,BULL,34.59937985699656,4.563312244229824,LLOYDSENGG,BSE,LLOYDSENGG.BO
EXT_3,LONG,2025-01-09,2025-01-10,2025-01-10,85.08999633789062,82.96274642944336,89.34449615478516,82.96274642944336,STOP_LOSS,1,-2.500000000000003,-2.650000000000003,NEUTRAL,61.12349108833753,1.833710548515541,LLOYDSENGG,BSE,LLOYDSENGG.BO
EXT_3,SHORT,2026-01-12,2026-01-13,2026-01-19,51.79999923706055,53.09499921798706,49.209999275207515,49.209999275207515,TARGET,4,5.000000000000008,4.850000000000008,BULL,38.14433720072767,2.1670361653019725,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE_EXT_3,LONG,2025-01-09,2025-01-10,2025-01-10,85.08999633789062,82.96274642944336,89.34449615478516,82.96274642944336,STOP_LOSS,1,-2.500000000000003,-2.650000000000003,NEUTRAL,61.12349108833753,1.833710548515541,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE_EXT_3,SHORT,2026-01-12,2026-01-13,2026-01-19,51.79999923706055,53.09499921798706,49.209999275207515,49.209999275207515,TARGET,4,5.000000000000008,4.850000000000008,BULL,38.14433720072767,2.1670361653019725,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE_NO_NEUTRAL,LONG,2025-06-26,2025-06-27,2025-06-27,64.51000213623047,62.89725208282471,67.73550224304199,67.73550224304199,TARGET,1,5.0,4.85,BULL,63.07204416896461,6.280521620836529,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE_NO_NEUTRAL,SHORT,2026-01-09,2026-01-12,2026-01-13,51.060001373291016,52.33650140762329,48.50700130462646,52.33650140762329,STOP_LOSS,2,-2.4999999999999947,-2.6499999999999946,BULL,34.59937985699656,4.563312244229824,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE_EXT_3_NO_NEUTRAL,SHORT,2026-01-12,2026-01-13,2026-01-19,51.79999923706055,53.09499921798706,49.209999275207515,49.209999275207515,TARGET,4,5.000000000000008,4.850000000000008,BULL,38.14433720072767,2.1670361653019725,LLOYDSENGG,BSE,LLOYDSENGG.BO
BASE_CURRENT,LONG,2024-11-05,2024-11-06,2024-11-11,210.8000030517578,205.53000297546387,221.34000320434572,205.53000297546387,STOP_LOSS,4,-2.4999999999999973,-2.6499999999999972,NEUTRAL,63.11699895957617,3.28804668007174,CGCL,BSE,CGCL.BO
BASE_CURRENT,SHORT,2024-11-18,2024-11-19,2024-11-25,193.6999969482422,198.54249687194823,184.01499710083007,198.54249687194823,STOP_LOSS,4,-2.4999999999999942,-2.649999999999994,NEUTRAL,39.51294245726242,2.609065166246736,CGCL,BSE,CGCL.BO
BASE_CURRENT,LONG,2024-11-27,2024-11-28,2024-12-05,211.1999969482422,205.91999702453612,221.7599967956543,205.91999702453612,STOP_LOSS,6,-2.500000000000008,-2.650000000000008,NEUTRAL,63.11393036033433,4.897669480789969,CGCL,BSE,CGCL.BO
BASE_CURRENT,SHORT,2025-04-07,2025-04-08,2025-04-08,164.9499969482422,169.07374687194823,156.70249710083007,156.70249710083007,TARGET,1,5.0000000000000036,4.850000000000003,NEUTRAL,39.81338806455668,6.579949059736166,CGCL,BSE,CGCL.BO
BASE_CURRENT,LONG,2025-06-10,2025-06-11,2025-06-12,178.25,173.79375,187.1625,173.79375,STOP_LOSS,2,-2.500000000000006,-2.650000000000006,NEUTRAL,66.97250024498238,6.515559516289661,CGCL,BSE,CGCL.BO
BASE_CURRENT,LONG,2025-07-10,2025-07-11,2025-07-11,177.8000030517578,173.35500297546386,186.69000320434571,173.35500297546386,STOP_LOSS,1,-2.500000000000003,-2.650000000000003,BULL,61.048861790753655,3.9422069658391936,CGCL,BSE,CGCL.BO
BASE_CURRENT,LONG,2025-07-16,2025-07-17,2025-07-28,183.1499938964844,178.57124404907228,192.30749359130863,178.57124404907228,STOP_LOSS,8,-2.500000000000009,-2.650000000000009,BULL,63.5176215797985,2.2419391047688078,CGCL,BSE,CGCL.BO
